id_genero,Gênero, Frequência da prática de esporte,Norte,Nordeste ,Sudeste,Sul,Centro-Oeste
1.1,Homem,Menos que uma vez por semana,256.946,528.793,1008.99,383.54,153.877
1.2,Homem,Uma vez por semana,542.269,1692.015,2843.453,1259.101,462.456
1.3,Homem,Duas vezes por semana,512.572,1305.729,1984.942,777.064,441.15
1.4,Homem,Três vezes por semana,473.794,1254.793,1978.954,662.904,450.477
1.5,Homem,Quatro vezes por semana ou mais,520.079,1571.598,2296.251,656.285,487.723
2.1,Mulher,Menos que uma vez por semana,96.638,117.08,252.269,146.452,76.336
2.2,Mulher,Uma vez por semana,134.408,312.331,569.827,378.023,107.907
2.3,Mulher,Duas vezes por semana,214.122,507.46,1521.276,548.866,283.147
2.4,Mulher,Três vezes por semana,327.71,998.403,1894.766,668.236,458.77
2.5,Mulher,Quatro vezes por semana ou mais,320.615,1296.911,1949.134,665.012,448.373
